cinema,date,time,title,snif,type
Lev Cinema,01/10/2024,21:30,A World Apart,Raanana,Regular
Cinema City,01/10/2024,17:20,Adios Buenos Aires,Tel Aviv,Regular
Cinema City,01/10/2024,19:40,Adios Buenos Aires,Tel Aviv,Regular
Cinema City,01/10/2024,18:00,Adios Buenos Aires,Rishon Letzion,Regular
Cinema City,01/10/2024,20:30,Adios Buenos Aires,Rishon Letzion,Regular
Cinema City,01/10/2024,19:40,Adios Buenos Aires,Jerusalem,Regular
Cinema City,01/10/2024,16:15,Adios Buenos Aires,Kfar Saba,Prime
Cinema City,01/10/2024,18:40,Adios Buenos Aires,Kfar Saba,Prime
Cinema City,01/10/2024,19:30,Adios Buenos Aires,Netanya,Prime
Cinema City,01/10/2024,19:30,Adios Buenos Aires,Beer Sheva,Regular
Cinema City,01/10/2024,19:20,Adios Buenos Aires,Chadera,Prime
Cinema City,01/10/2024,17:00,Adios Buenos Aires,Ashdod,Regular
Cinema City,01/10/2024,19:30,Adios Buenos Aires,Ashdod,Regular
Yes Planet,01/10/2024,18:00,Adios Buenos Aires,Rishon Letzion,Regular
Yes Planet,01/10/2024,20:00,Adios Buenos Aires,Rishon Letzion,Regular
Yes Planet,01/10/2024,16:20,Adios Buenos Aires,Tel Aviv,Regular
Yes Planet,01/10/2024,18:30,Adios Buenos Aires,Tel Aviv,Regular
Yes Planet,01/10/2024,18:00,Adios Buenos Aires,Zichron Yaakov,Regular
Yes Planet,01/10/2024,16:20,Adios Buenos Aires,Haifa,Regular
Lev Cinema,01/10/2024,16:30,Adios Buenos Aires,Beer Sheva,Regular
Lev Cinema,01/10/2024,16:30,Adios Buenos Aires,Herziliya,Regular
Lev Cinema,01/10/2024,17:00,Adios Buenos Aires,Shoham,Regular
Lev Cinema,01/10/2024,17:10,Adios Buenos Aires,Raanana,Regular
Lev Cinema,01/10/2024,19:25,Adios Buenos Aires,Raanana,Regular
Lev Cinema,01/10/2024,17:20,Adios Buenos Aires,Netanya,Regular
Lev Cinema,01/10/2024,19:10,Adios Buenos Aires,Tel Aviv,Regular
Lev Cinema,01/10/2024,21:20,Adios Buenos Aires,Tel Aviv,Regular
Yes Planet,01/10/2024,21:45,Alien: Romulus,Haifa,Regular
Cinema City,01/10/2024,21:50,Bad Boys: Ride or Die,Chadera,Regular
Yes Planet,01/10/2024,21:30,Bad Boys: Ride or Die,Rishon Letzion,Regular
Yes Planet,01/10/2024,21:15,Bad Boys: Ride or Die,Tel Aviv,Regular
Yes Planet,01/10/2024,20:00,Bad Boys: Ride or Die,Beer Sheva,Regular
Yes Planet,01/10/2024,20:15,Bad Boys: Ride or Die,Haifa,Regular
Cinema City,01/10/2024,21:30,Bad Genius,Tel Aviv,Regular
Cinema City,01/10/2024,20:00,Bad Genius,Rishon Letzion,Regular
Cinema City,01/10/2024,21:50,Bad Genius,Kfar Saba,Regular
Cinema City,01/10/2024,18:50,Bad Genius,Netanya,Regular
Cinema City,01/10/2024,19:30,Bad Genius,Chadera,Regular
Cinema City,01/10/2024,19:20,Bad Genius,Ashdod,Regular
Yes Planet,01/10/2024,19:40,Bad Genius,Rishon Letzion,Regular
Yes Planet,01/10/2024,22:20,Bad Genius,Rishon Letzion,Regular
Yes Planet,01/10/2024,21:45,Bad Genius,Rishon Letzion,VIP
Yes Planet,01/10/2024,19:15,Bad Genius,Tel Aviv,Regular
Yes Planet,01/10/2024,21:30,Bad Genius,Tel Aviv,Regular
Yes Planet,01/10/2024,21:40,Bad Genius,Beer Sheva,Regular
Yes Planet,01/10/2024,20:00,Bad Genius,Zichron Yaakov,Regular
Yes Planet,01/10/2024,22:20,Bad Genius,Zichron Yaakov,Regular
Yes Planet,01/10/2024,19:30,Bad Genius,Haifa,Regular
Yes Planet,01/10/2024,21:45,Bad Genius,Haifa,Regular
Yes Planet,01/10/2024,19:10,Bad Genius,Jerusalem,Regular
Yes Planet,01/10/2024,21:30,Bad Genius,Jerusalem,Regular
Cinema City,01/10/2024,16:50,Beetlejuice Beetlejuice,Tel Aviv,Regular
Cinema City,01/10/2024,19:15,Beetlejuice Beetlejuice,Tel Aviv,Regular
Cinema City,01/10/2024,21:40,Beetlejuice Beetlejuice,Tel Aviv,Regular
Cinema City,01/10/2024,18:50,Beetlejuice Beetlejuice,Rishon Letzion,Regular
Cinema City,01/10/2024,21:30,Beetlejuice Beetlejuice,Rishon Letzion,Regular
Cinema City,01/10/2024,16:30,Beetlejuice Beetlejuice,Jerusalem,Regular
Cinema City,01/10/2024,19:00,Beetlejuice Beetlejuice,Jerusalem,Regular
Cinema City,01/10/2024,19:00,Beetlejuice Beetlejuice,Jerusalem,VIP
Cinema City,01/10/2024,19:10,Beetlejuice Beetlejuice,Kfar Saba,Regular
Cinema City,01/10/2024,21:40,Beetlejuice Beetlejuice,Kfar Saba,Regular
Cinema City,01/10/2024,19:30,Beetlejuice Beetlejuice,Netanya,Prime
