cinema,date,time,title,href,poster,year,valid
Yes Planet,03/10/2024,,Tasting,,,,
Yes Planet,03/10/2024,,Woman of The Hour,,,,
Yes Planet,03/10/2024,,Sex,,,,
Yes Planet,10/10/2024,,The Silent Hour,,,,
Yes Planet,10/10/2024,,Hellboy: The Crooked Man,,,,
Yes Planet,10/10/2024,,1 Million Followers,,,,
Yes Planet,17/10/2024,,Panda Bear in Africa,,,,
Yes Planet,17/10/2024,,ZAK & WOWO: THE LEGEND OF LENDERS,,,,
Yes Planet,17/10/2024,,Smile 2,,,,
Yes Planet,17/10/2024,,The Day the Earth Blew Up: A Looney Tunes Movie,,,,
Yes Planet,17/10/2024,,Good Boys 2,,,,
Yes Planet,17/10/2024,,Elli and the Ghostly Ghost Train,,,,
Yes Planet,17/10/2024,,We Live in Time,,,,
Yes Planet,17/10/2024,,My hero academia: You`re next,,,,
Yes Planet,17/10/2024,,The Apprentice,,,,
Yes Planet,24/10/2024,,Transformers One,,,,
Yes Planet,24/10/2024,,Venom: The Last Dance,,,,
Yes Planet,24/10/2024,,Black Tea,,,,
Yes Planet,24/10/2024,,Weekend in Taipei,,,,
Yes Planet,24/10/2024,,Tears For Fears Live,,,,
Yes Planet,24/10/2024,,This Is My Mother,,,,
Yes Planet,31/10/2024,,Under Therapy,,,,
Yes Planet,31/10/2024,,Longing,,,,
Yes Planet,31/10/2024,,Classified,,,,
Yes Planet,31/10/2024,,Here,,,,
Yes Planet,14/11/2024,,The Vanishing Soldier,,,,
Yes Planet,14/11/2024,,Gladiator II,,,,
Yes Planet,21/11/2024,,Wicked: Part 1,,,,
Yes Planet,28/11/2024,,Moana 2,,,,
Yes Planet,12/12/2024,,Arugam Bay,,,,
Yes Planet,12/12/2024,,The Property,,,,
Yes Planet,19/12/2024,,Mufasa: The Lion King,,,,
Yes Planet,26/12/2024,,The Ring,,,,
Yes Planet,13/02/2025,,Captain America: Brave New World,,,,
Yes Planet,20/03/2025,,Snow White,,,,
Jaffa Cinema,24/09/24,18:00,Monogamia,https://www.jaffacinema.com/calendar/5027/,https://m.media-amazon.com/images/M/MV5BMzk4NGY4ZTMtOTlmZC00OTVhLWI4ZGItN2U2ZGE3MTNiMTRkXkEyXkFqcGdeQXVyMjAyMTQ0OTU@._V1_SX300.jpg,2023,yes
Jaffa Cinema,24/09/24,19:00,Pump Up the Volume,https://www.jaffacinema.com/calendar/5028/,https://m.media-amazon.com/images/M/MV5BMmYwNDE1ZjEtNTZiZi00Y2Q0LWEwMjctYWRiZDA1OTU2NjA2XkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_SX300.jpg,1990,yes
Jaffa Cinema,24/09/24,20:30,Journey to the Center of the Earth,https://www.jaffacinema.com/calendar/5029/,https://m.media-amazon.com/images/M/MV5BMTk1MzY1MzU1MF5BMl5BanBnXkFtZTcwOTQ2NjM3MQ@@._V1_SX300.jpg,2008,yes
Jaffa Cinema,24/09/24,21:30,Arrival,https://www.jaffacinema.com/calendar/5030/,https://m.media-amazon.com/images/M/MV5BMTExMzU0ODcxNDheQTJeQWpwZ15BbWU4MDE1OTI4MzAy._V1_SX300.jpg,2016,yes
Jaffa Cinema,25/09/24,18:00,Someone to Run With,https://www.jaffacinema.com/calendar/5031/,https://m.media-amazon.com/images/M/MV5BMzMyOWIzOTctNmQ4YS00NzRkLWI0NTMtZjYxOTRmMGJmNDBkXkEyXkFqcGdeQXVyMjMyMzI4MzY@._V1_SX300.jpg,2006,yes
Jaffa Cinema,25/09/24,19:00,איידהו שלי,https://www.jaffacinema.com/calendar/5032/,,,no
Jaffa Cinema,25/09/24,21:30,Paprika,https://www.jaffacinema.com/calendar/5034/,https://m.media-amazon.com/images/M/MV5BNDI4MGEwZDAtZDg0Yy00MjFhLTg1MjctODdmZTMyNTUyNDI3L2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,2006,yes
Jaffa Cinema,25/09/24,20:30,The Water Front,https://www.jaffacinema.com/calendar/5064/,https://m.media-amazon.com/images/M/MV5BNmRjMDcyYTgtZjYxOC00MjI0LWIyNTgtYzY1NTM2ZDRhNGIzXkEyXkFqcGc@._V1_SX300.jpg,2024,yes
Jaffa Cinema,26/09/24,20:30,Get the Land Back,https://www.jaffacinema.com/calendar/4979/,https://m.media-amazon.com/images/M/MV5BYTUzNmI4ODUtNTY3Yi00Njk4LWFiMmMtNGRmZDhhMDcyYmJkXkEyXkFqcGdeQXVyMjMyMzI4MzY@._V1_SX300.jpg,2024,yes
Jaffa Cinema,26/09/24,18:00,Paprika,https://www.jaffacinema.com/calendar/5034/,https://m.media-amazon.com/images/M/MV5BNDI4MGEwZDAtZDg0Yy00MjFhLTg1MjctODdmZTMyNTUyNDI3L2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,2006,yes
Jaffa Cinema,26/09/24,19:00,איידהו שלי,https://www.jaffacinema.com/calendar/5032/,,,no
Jaffa Cinema,26/09/24,21:30,Lolita,https://www.jaffacinema.com/calendar/5037/,https://m.media-amazon.com/images/M/MV5BZTlmODM0ZTgtY2NkZS00Y2ZmLTkxMzktMTE4ZDg2NzNmNDkwXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg,1962,yes
